Id,TrackToken,DeviceToken,IncomingTrackId,StartDate,EndDate,Distance,Duration,AccelerationCount,DecelerationCount,Rating,PhoneUsage,TrackOrigin,OriginChanged,AddressStart,AddressFinish,DistanceGPS,Urban,Region,Country,RatingOverSpeed,RatingAcceleration,RatingTimeOfDay,RatingPhoneUsage,OverSpeedMileage,MidOverSpeedMileage,HighOverSpeedMileage,OriginalTrackOrigin,CompanyId,RushHours,NightHours,DailyHours,RatingDeceleration,KOverSpeed,KAcceleration,KTimeOfDay,KDeceleration,MaxSpeed,AverageSpeed,PhoneUsageOverSpeed,PhoneUsageKm,PhoneUsageOverSpeedKm,KPhoneUsage,Prediction,EcoScoringFuel,EcoScoringTyres,EcoScoringBrakes,EcoScoringDepreciation,EcoScoring,Shared,CityStart,CityFinish,UpdateDT,CorneringCount,CorneringDuration,AccelerationICount,DecelerationICount,AccelerationIDuration,DecelerationIDuration,RatingCornering,VehicleId,BeaconId,DeviationRatio,DeviationMeters
5148865,AB70A2A9-B45C-453D-B07C-C2D9E9D7442B,3E045058-A9A5-4442-A2CC-605B871C4B2C,20702795,2019-10-17 15:35:34.0000000 +03:00,2019-10-17 15:46:05.0000000 +03:00,4.203323007071419,10.516666666666667,2,1,1.4500000476837158,1.3166666666666667,OriginalDriver,False,"Тойминская улица 11А, Менделеевск, Менделеевский район, Республика Татарстан, Россия","Сосновая улица 4, Менделеевск, Менделеевский район, Республика Татарстан, Россия",4.096,True,Республика Татарстан,Россия,0.0,2.5,5.0,5.0,0.65,0.818,0.812,,1061,0.0,0.0,10.516666412353516,3.75,0.20000000298023224,0.800000011920929,1.0,0.875,84.5999984741211,38.70491399096387,0.03333333333333333,0.789,0.045,1.0,,100.0,100.0,100.0,100.0,100.00000762939453,0.0,Менделеевский район,Менделеевский район,2019-10-17 15:01:40.393,1.0,1.0,111.0,6.0,120.0,7.0,,,,0.0,7.390443457601177
5148032,4BDD2EE6-FF53-4762-83DA-35A849935A99,669AFC5F-921C-40B9-B090-587BC95D34C2,20691750,2019-10-17 17:35:30.0000000 +05:00,2019-10-17 18:00:56.0000000 +05:00,414.0764998945695,25.433333333333334,0,1,4.75,0.0,OriginalDriver,False,"улица Труда 166/1, Центральный район, Челябинск, Челябинская область, Россия","улица Блюхера 69А, Советский район, Челябинск, Челябинская область, Россия",6.233,True,Челябинская область,Россия,5.0,5.0,4.993903636932373,5.0,0.608,0.0,0.0,,1061,1.0333333015441895,0.0,24.399999618530273,3.75,1.0,1.0,1.0,0.875,70.91703033447266,27.351787302938266,0.0,0.0,0.0,1.0,,100.0,100.0,100.0,75.0,92.5,0.0,Челябинск,Челябинск,2019-10-17 13:06:47.537,0.0,0.0,16.0,0.0,29.0,0.0,,,,0.0,17.956038529721724
5147957,A0624E01-25FD-4B2D-A56E-617BB2546526,55D0C3A4-9E5B-4B57-BC22-E986158707F8,20690445,2019-10-17 16:35:25.0000000 +04:00,2019-10-17 16:49:04.0000000 +04:00,6.498144782843222,13.65,0,0,5.0,1.3666666666666667,OriginalDriver,False,"улица Мира 64, Волжский, Волгоградская область, Россия","улица Пушкина 17, Волжский, Волгоградская область, Россия",7.135,True,Волгоградская область,Россия,5.0,5.0,5.0,5.0,1.99,0.164,0.0,,1061,0.0,0.0,13.649999618530273,5.0,1.0,1.0,1.0,1.0,63.825897216796875,38.09132016758467,0.0,0.819,0.0,1.0,,100.0,100.0,100.0,100.0,100.00000762939453,0.0,Волжский,Волжский,2019-10-17 12:58:55.733,0.0,0.0,4.0,1.0,63.0,4.0,,,,0.0,18.21985828930824
5147902,D233A0EB-2D09-47F3-B0EB-3D852434F982,8E58407D-8933-4AFB-B158-81FF4548AEC4,20689861,2019-10-17 19:35:07.0000000 +07:00,2019-10-17 19:40:59.0000000 +07:00,1.148526164631446,5.866666666666667,0,1,4.75,1.9833333333333334,OriginalDriver,False,"Рентгеновская улица 77, Заельцовский район, Новосибирск, Новосибирская область, Россия","Уфимская улица 29, Заельцовский район, Новосибирск, Новосибирская область, Россия",1.056,True,Новосибирская область,Россия,5.0,5.0,3.0,5.0,0.0,0.0,0.0,,1061,5.866666793823242,0.0,0.0,3.75,1.0,1.0,1.0,0.875,54.683998107910156,18.41860351165136,0.0,0.551,0.0,1.0,,100.0,100.0,100.0,50.0,85.00000762939453,0.0,Новосибирск,Новосибирск,2019-10-17 12:49:51.397,0.0,0.0,37.0,20.0,51.0,23.0,,,,0.0,5.32869600249034
5150087,0195F786-966E-49AF-9326-82697CCC9011,0CE60F80-6BA3-4706-916B-BA864A434F46,20713090,2019-10-17 15:35:03.0000000 +03:00,2019-10-17 16:09:45.0000000 +03:00,8.160865276098807,34.7,2,1,2.6500000953674316,0.0,OriginalDriver,False,"улица Некрасова 56, Центральный район, Санкт-Петербург, Санкт-Петербург, Россия","Кузнецовская улица 31 лит А, Московский район, Санкт-Петербург, Санкт-Петербург, Россия",7.983,True,Санкт-Петербург,Россия,2.299999952316284,2.5199999809265137,5.0,5.0,0.883,0.191,0.226,,1061,0.0,0.0,34.70000076293945,3.8299999237060547,0.46000000834465027,0.8050000071525574,1.0,0.8849999904632568,74.08792877197266,31.29141501309478,0.0,0.0,0.0,1.0,,100.0,100.0,100.0,100.0,100.00000762939453,0.0,Санкт-Петербург,Санкт-Петербург,2019-10-17 17:03:43.403,0.0,0.0,0.0,31.0,0.0,73.0,,,,0.0,6.391665380905311
5147894,2EE467CA-94C4-4569-A514-254729066872,CFDE52A8-2B15-4EFC-A351-2B108666AECA,20689679,2019-10-17 15:34:55.0000000 +03:00,2019-10-17 15:42:26.0000000 +03:00,0.8236998627494027,7.516666666666667,0,0,5.0,0.0,OriginalDriver,False,"Гражданский проспект 26А, Калининский район, Санкт-Петербург, Санкт-Петербург, Россия","Гражданский проспект 92, Калининский район, Санкт-Петербург, Санкт-Петербург, Россия",1.548,True,Санкт-Петербург,Россия,5.0,5.0,5.0,5.0,0.0,0.0,0.0,,1061,0.0,0.0,7.516666889190674,5.0,1.0,1.0,1.0,1.0,34.79168701171875,14.270888588415637,0.0,0.0,0.0,1.0,,100.0,100.0,100.0,100.0,100.00000762939453,0.0,Санкт-Петербург,Санкт-Петербург,2019-10-17 12:49:22.153,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,37.83964609594898
5147861,A83A5C4C-D855-41C5-9581-3C797E527717,4A86D6E2-2A56-4B29-9735-B903010811E5,20689254,2019-10-17 15:34:49.0000000 +03:00,2019-10-17 15:40:48.0000000 +03:00,-0.45843669465364656,5.983333333333333,0,0,3.75,0.0,OriginalDriver,False,"улица 30 лет Победы 2, Волгодонск, Ростовская область, Россия","переулок Маяковского 29, Волгодонск, Ростовская область, Россия",3.776,True,Ростовская область,Россия,2.799999952316284,5.0,5.0,5.0,0.293,0.2,0.0,,1061,0.0,0.0,5.983333110809326,5.0,0.5600000023841858,1.0,1.0,1.0,61.182518005371094,21.501013767719268,0.0,0.0,0.0,1.0,,100.0,100.0,100.0,75.0,92.5,0.0,Волгодонск,Волгодонск,2019-10-17 12:43:22.477,0.0,0.0,2.0,4.0,13.0,23.0,,,,0.0,4.870856415685256
5161199,EB6675C8-2575-4D7C-8B92-03D2D04A973B,E0EED44E-E0A9-479D-8970-BFE8A7E7D136,20860644,2019-10-17 15:34:42.0000000 +03:00,2019-10-17 16:28:15.0000000 +03:00,10.190051326814682,53.550000000000004,1,6,0.800000011920929,1.25,OriginalDriver,False,"улица Славянова, Липецк, Липецкая область, Россия","улица Гагарина, Липецк, Липецкая область, Россия",10.458,True,Липецкая область,Россия,1.0499999523162842,4.050000190734863,5.0,5.0,1.948,0.641,0.805,,1061,0.0,0.0,53.54999923706055,0.0,0.20999999344348907,0.9100000262260437,1.0,0.4000000059604645,81.31072235107422,33.14074833724464,0.05,0.694,0.039,1.0,,100.0,100.0,100.0,50.0,85.00000762939453,0.0,Липецк,Липецк,2019-10-18 18:48:12.253,0.0,0.0,67.0,118.0,62.0,162.0,,,,0.0,95.71148172068563
5179959,8B6E707A-A55A-4768-BED3-38389132DA38,EA7EDD69-51BC-4309-BF24-461A5DEB1895,21167281,2019-10-17 15:34:39.0000000 +03:00,2019-10-17 15:45:42.0000000 +03:00,6.419749913518383,11.05,1,4,1.3509999513626099,1.5666666666666667,OriginalDriver,False,"Апшеронская улица 59 корп 2А, Майкоп, Республика Адыгея, Россия","Железнодорожная улица 27, Победа, Майкопский район, Республика Адыгея, Россия",6.468,False,Республика Адыгея,Россия,0.8999999761581421,3.75,5.0,5.0,1.127,0.418,0.579,,1061,0.0,0.0,11.050000190734863,1.25,0.20000000298023224,0.887499988079071,1.0,0.44999998807907104,79.7164306640625,40.47654203102414,0.0,0.862,0.0,1.0,,100.0,75.0,100.0,75.0,91.25,0.0,Майкоп,Майкопский район,2019-10-21 03:00:04.310,0.0,0.0,49.0,62.0,53.0,67.0,,,,0.0,5.506358754191178
5148383,103F9E6B-9B23-47C1-AE8D-D59A93A8F82C,A4B49F37-2F3D-46DF-ACE3-8880E25D13F9,20696261,2019-10-17 17:34:10.0000000 +05:00,2019-10-17 18:41:11.0000000 +05:00,11.833114087745368,67.01666666666667,2,1,4.349999904632568,0.05,OriginalDriver,False,"улица Башкова 40, Мотовилихинский район, Пермь, Пермский край, Россия","улица Тургенева 4, Мотовилихинский район, Пермь, Пермский край, Россия",12.443,True,Пермский край,Россия,4.550000190734863,3.4100000858306885,3.76283860206604,5.0,1.283,0.149,0.0,,1061,41.31666564941406,0.0,25.700000762939453,4.25,0.9200000166893005,0.8725000023841858,1.0,0.925000011920929,67.11420440673828,27.66389896024256,0.0,0.02,0.0,1.0,,100.0,100.0,100.0,50.0,85.00000762939453,0.0,Пермь,Пермь,2019-10-17 13:55:13.627,0.0,0.0,11.0,45.0,11.0,33.0,,,,0.0,9.052878278658406
